filename,true_category,true_brand
583132_guidelines_denim_ss24/page_14.png,Trims & Accessories,GAS
583132_guidelines_denim_ss24/page_15.png,Trims & Accessories,GAS
211903413TOYAMAWASHWESTERNSHIRTJACKE_001Spec_DENIMHOUSE_1123_001/page_1.png,Autres documents techniques,RALPH LAUREN
211903413TOYAMAWASHWESTERNSHIRTJACKE_001Spec_DENIMHOUSE_1123_001/page_2.png,BOM,RALPH LAUREN
211903413TOYAMAWASHWESTERNSHIRTJACKE_001Spec_DENIMHOUSE_1123_001/page_3.png,BOM,RALPH LAUREN
211903413TOYAMAWASHWESTERNSHIRTJACKE_001Spec_DENIMHOUSE_1123_001/page_4.png,BOM,RALPH LAUREN
211903413TOYAMAWASHWESTERNSHIRTJACKE_001Spec_DENIMHOUSE_1123_001/page_5.png,BOM,RALPH LAUREN
211903413TOYAMAWASHWESTERNSHIRTJACKE_001Spec_DENIMHOUSE_1123_001/page_6.png,Sewing Instructions,RALPH LAUREN
211903413TOYAMAWASHWESTERNSHIRTJACKE_001Spec_DENIMHOUSE_1123_001/page_7.png,Technical Sketch,RALPH LAUREN
211903413TOYAMAWASHWESTERNSHIRTJACKE_001Spec_DENIMHOUSE_1123_001/page_8.png,Technical Sketch,RALPH LAUREN
211903413TOYAMAWASHWESTERNSHIRTJACKE_001Spec_DENIMHOUSE_1123_001/page_9.png,Technical Sketch,RALPH LAUREN
211903413TOYAMAWASHWESTERNSHIRTJACKE_001Spec_DENIMHOUSE_1123_001/page_10.png,Technical Sketch,RALPH LAUREN
211903413TOYAMAWASHWESTERNSHIRTJACKE_001Spec_DENIMHOUSE_1123_001/page_11.png,Sewing Instructions,RALPH LAUREN
211903413TOYAMAWASHWESTERNSHIRTJACKE_001Spec_DENIMHOUSE_1123_001/page_12.png,Measurement Sheet,RALPH LAUREN
211903413TOYAMAWASHWESTERNSHIRTJACKE_001Spec_DENIMHOUSE_1123_001/page_13.png,Measurement Sheet,RALPH LAUREN
211903413TOYAMAWASHWESTERNSHIRTJACKE_001Spec_DENIMHOUSE_1123_001/page_14.png,Measurement Sheet,RALPH LAUREN
211903413TOYAMAWASHWESTERNSHIRTJACKE_001Spec_DENIMHOUSE_1123_001/page_15.png,Autres documents techniques,RALPH LAUREN
211903413TOYAMAWASHWESTERNSHIRTJACKE_001Spec_DENIMHOUSE_1123_001/page_16.png,Autres documents techniques,RALPH LAUREN
211903413TOYAMAWASHWESTERNSHIRTJACKE_001Spec_DENIMHOUSE_1123_001/page_17.png,Autres documents techniques,RALPH LAUREN
211903413TOYAMAWASHWESTERNSHIRTJACKE_001Spec_DENIMHOUSE_1123_001/page_18.png,Autres documents techniques,RALPH LAUREN
211903413TOYAMAWASHWESTERNSHIRTJACKE_001Spec_DENIMHOUSE_1123_001/page_19.png,Measurement Sheet,RALPH LAUREN
211903413TOYAMAWASHWESTERNSHIRTJACKE_001Spec_DENIMHOUSE_1123_001/page_20.png,Measurement Sheet,RALPH LAUREN
211903413TOYAMAWASHWESTERNSHIRTJACKE_001Spec_DENIMHOUSE_1123_001/page_21.png,Measurement Sheet,RALPH LAUREN
211903413TOYAMAWASHWESTERNSHIRTJACKE_001Spec_DENIMHOUSE_1123_001/page_22.png,Measurement Sheet,RALPH LAUREN
